name,response
Cisco IOS XE Implant Access,
Zscaler Scam Destinations Threat Blocked,"SEARCH Zscaler web proxy logs
| FILTER records where action equals ""blocked""
| FILTER records where threatname contains the substring ""scam"" (case-insensitive)
| GROUP BY action, deviceowner, user, urlcategory, url, src, dest AGGREGATE count() as event_count, min(_time) as firstTime, max(_time) as lastTime
| DERIVE firstTime_readable = convert_epoch_to_readable(firstTime)
| DERIVE lastTime_readable = convert_epoch_to_readable(lastTime)
| APPLY environment-specific allowlist/suppression to exclude known-benign users, sources, destinations, or categories
| OUTPUT action, deviceowner, user, urlcategory, url, src, dest, event_count, firstTime, lastTime, firstTime_readable, lastTime_readable"
Windows IIS Server PSWA Console Access,"SEARCH Windows IIS web server access logs for HTTP requests |
PARSE fields: timestamp, source_ip, destination_host, http_method, http_status, uri_path, uri_query |
FILTER events where uri_path equals ""/pswa"" OR uri_path starts with ""/pswa/"" (case-insensitive) |
GROUP events by source_ip, http_status, uri_path, destination_host, http_method, uri_query |
COMPUTE request_count = number of events per group, first_seen_time = minimum timestamp per group, last_seen_time = maximum timestamp per group |
DERIVE first_seen_readable = human-readable format of first_seen_time, last_seen_readable = human-readable format of last_seen_time |
APPLY environment-specific filters to exclude known benign sources or expected administrative activity (e.g., allowlisted source IPs or monitoring probes) |
OUTPUT destination_host, source_ip, http_method, http_status, uri_path, uri_query, request_count, first_seen_time, last_seen_time, first_seen_readable, last_seen_readable"
Confluence CVE-2023-22515 Trigger Vulnerability,"SEARCH Suricata HTTP logs over the desired time range
| FILTER records where http_method equals ""GET""
| FILTER records where http_status equals 200
| FILTER records where url matches any of:
  - contains ""server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=false""
  - contains ""server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=0&""
| GROUP records by http_user_agent, http_status, http_method, url, url_length, src_ip, dest_ip, data_source
| DERIVE event_count as the number of records in each group
| DERIVE first_seen_time as the earliest timestamp in each group
| DERIVE last_seen_time as the latest timestamp in each group
| FORMAT first_seen_time and last_seen_time as human-readable timestamps
| APPLY environment-specific allowlists or suppression rules to remove known benign traffic (if available)
| OUTPUT first_seen_time, last_seen_time, event_count, http_user_agent, http_status, http_method, url, url_length, src_ip, dest_ip, data_source"
SAP NetWeaver Visual Composer Exploitation Attempt,
JetBrains TeamCity Authentication Bypass CVE-2024-27198,
Confluence Data Center and Server Privilege Escalation,"SEARCH web access logs (e.g., Nginx Access) within the analysis time window
| FILTER http_status == 200
| FILTER request_url CONTAINS any of [""/setup/setupadministrator.action"", ""/setup/finishsetup.action"", ""/json/setup-restore-local.action"", ""/json/setup-restore-progress.action"", ""/json/setup-restore.action"", ""/bootstrap/selectsetupstep.action""]
| PARSE fields: user_agent, http_status, http_method, request_url, client_ip, server_ip, log_source, event_time
| DERIVE url_length = LENGTH(request_url)
| GROUP BY user_agent, http_status, http_method, request_url, url_length, client_ip, server_ip, log_source
| AGGREGATE event_count = COUNT(), first_seen = MIN(event_time), last_seen = MAX(event_time)
| DERIVE first_seen_readable = FORMAT_TIMESTAMP(first_seen), last_seen_readable = FORMAT_TIMESTAMP(last_seen)
| OUTPUT user_agent, http_status, http_method, request_url, url_length, client_ip, server_ip, log_source, event_count, first_seen, last_seen, first_seen_readable, last_seen_readable"
Web Remote ShellServlet Access,
Ivanti Connect Secure Command Injection Attempts,"SEARCH HTTP request/response events from Suricata (or equivalent HTTP network telemetry) containing fields: event_time, src_ip, dest_ip, http_method, url, http_status, user_agent
| FILTER http_method is one of [""POST"", ""GET""]
| FILTER http_status equals 200
| FILTER url matches any of the following wildcard patterns:
  - ""*/api/v1/totp/user-backup-code/../../system/maintenance/archiving/cloud-server-test-connection*""
  - ""*/api/v1/totp/user-backup-code/../../license/keys-status/*""
| GROUP by src_ip, dest_ip, user_agent, url, http_method, http_status
| AGGREGATE count = number of events per group, first_time = earliest event_time per group, last_time = latest event_time per group
| FORMAT first_time and last_time as human-readable timestamps
| APPLY environment-specific suppression or allowlist filters to the aggregated results (e.g., exclude known test systems or scanners)
| OUTPUT src_ip, dest_ip, user_agent, url, http_method, http_status, count, first_time, last_time"
Detect malicious requests to exploit JBoss servers,
Zscaler Exploit Threat Blocked,"SEARCH events from Zscaler Web Proxy logs within the desired time range | FILTER records where action equals ""blocked"" | FILTER records where threatname contains the substring ""exploit"" (case-insensitive) | AGGREGATE event_count = count of events, firstTime = earliest event timestamp, lastTime = latest event timestamp, grouped by user, threatname, src, hostname, fileclass, filename, url, dest | DERIVE firstTime_readable and lastTime_readable by converting firstTime and lastTime into human-readable timestamps | APPLY environment-specific allowlist or suppression rules to the aggregated results (for example, exclude known scanners, test users, or sanctioned testing URLs) | OUTPUT user, threatname, src, hostname, fileclass, filename, url, dest, event_count, firstTime, lastTime, firstTime_readable, lastTime_readable"
Exploit Public-Facing Fortinet FortiNAC CVE-2022-39952,"SEARCH HTTP/web proxy or application firewall logs with fields: timestamp, url, http_method, http_user_agent, status, url_length, src_ip, dest_ip, sourcetype, request_body
| PARSE url to extract the path component
| PARSE request_body (and associated headers"
Zscaler CryptoMiner Downloaded Threat Blocked,"SEARCH web proxy logs | FILTER where action equals ""blocked"" | FILTER where threatname contains the substring ""miner"" (case-insensitive) | GROUP records BY action, deviceowner, user, urlcategory, url, src, dest | COMPUTE count = number of records per group, firstTime = earliest event timestamp in group, lastTime = latest event timestamp in group | FORMAT firstTime and lastTime as human-readable timestamps | APPLY environment-specific tuning/suppression filters to remove known benign entities (optional) | OUTPUT action, deviceowner, user, urlcategory, url, src, dest, count, firstTime, lastTime"
Exploit Public Facing Application via Apache Commons Text,"SEARCH Nginx access logs within the desired time range
| PARSE each event to extract fields: src (client IP), dest (server IP or host), status (HTTP status), http_method, uri_path, uri_query, http_user_agent, timestamp
| FILTER events where http_method is either ""GET"" or ""POST""
| GROUP events BY src, dest, status, uri_path, uri_query, http_method, http_user_agent; AGGREGATE request_count = COUNT(), first_seen = MIN(timestamp), last_seen = MAX(timestamp)
| DERIVE lower_uri_query = LOWERCASE(uri_query, treat null as empty string)
| DERIVE utf_flag = 2 if lower_uri_query CONTAINS "":utf-8:http"", else 0
| DERIVE lookup_flag = 2"
Zscaler Virus Download threat blocked,"SEARCH web proxy logs from the Zscaler secure web gateway
| FILTER records where action equals ""blocked""
| FILTER records where threatclass equals ""Virus""
| FILTER records where threatname exists and is not equal to ""None""
| AGGREGATE count of records as eventCount, minimum event timestamp as firstTime, and maximum event timestamp as lastTime GROUP BY action, deviceowner, user, urlcategory, url, src, dest
| FORMAT firstTime and lastTime as human-readable timestamps
| APPLY allowlist/suppression rules to remove known benign deviceowners, users, URLs, or destinations
| OUTPUT action, deviceowner, user, urlcategory, url, src, dest, eventCount, firstTime, lastTime"
High Volume of Bytes Out to Url,"SEARCH web access logs (e.g., Nginx Access) within the desired time range
| PARSE each event to extract: event_time, source_ip, url, destination (host or IP), user_id, application, bytes_outbound (bytes sent from source to the URL)
| FILTER events where url exists and bytes_outbound > 0
| GROUP events into 2-minute time windows keyed by [time_window_start, url, source_ip]
| COMPUTE per group: event_count = COUNT(events), sum_bytes_out = SUM(bytes_outbound), users = DISTINCT_LIST(user_id), apps = DISTINCT_LIST(application), dests = DISTINCT_LIST(destination)
| FILTER groups where sum_bytes_out > 1070000000
| APPLY optional allowlist/exception rules to exclude known legitimate urls, destinations, or sources
| FORMAT fields for output: time_window_start, url, source_ip, sum_bytes_out, event_count, users, apps, dests
| OUTPUT the resulting groups"
Supernova Webshell,"SEARCH web server and/or proxy logs containing HTTP requests
| PARSE fields needed from each event: timestamp, source address, destination address or host, full URL, user identity (if present), HTTP user agent, product/vendor identifier (if present)
| FILTER events where URL contains ""logoimagehandler.ashx"" AND URL contains any of [""codes"", ""clazz"", ""method"", ""args""]
| DERIVE time_bucket = floor(timestamp to 1-second intervals)
| GROUP events by source address, destination address/host, URL, product/vendor identifier, user identity, HTTP user agent, time_bucket
| COMPUTE count = number of events in each group
| OUTPUT fields: time_bucket, source address, destination address/host, URL, product/vendor identifier, user identity, HTTP user agent, count"
Detect attackers scanning for vulnerable JBoss servers,"SEARCH web or HTTP access logs
| FILTER http_method IN [""GET"",""HEAD""]
| FILTER url CONTAINS ANY OF [""/web-console/ServerInfo.jsp"", ""web-console"", ""jmx-console"", ""invoker""]
| GROUP BY http_method, url, source_ip, destination_ip
| COMPUTE event_count = COUNT(), first_time = MIN(timestamp), last_time = MAX(timestamp)
| DERIVE first_time_readable = CONVERT_TIME(first_time), last_time_readable = CONVERT_TIME(last_time)
| APPLY optional exclusions for known benign sources, destinations, or URL patterns (organization-defined allowlist)
| OUTPUT http_method, url, source_ip, destination_ip, event_count, first_time, last_time, first_time_readable, last_time_readable"
Windows Exchange Autodiscover SSRF Abuse,
CrushFTP Authentication Bypass Exploitation,"SEARCH events from CrushFTP logs
| PARSE user and src_ip from a bracketed HTTP segment in the message formatted like ""[HTTP:<something>:<user>:<src_ip>]""
| PARSE process command from the message by extracting the value that follows ""cmd:"" up to the next delimiter or end of line
| FILTER events where process exists
| FILTER events where process contains any of the following keywords: ""mesch.exe"", ""b64exec"", ""fullinstall"", ""run""
| GROUP events by src_ip, user, process and COMPUTE count of events, earliest event time as firstTime, latest event time as lastTime
| DERIVE firstTimeReadable and lastTimeReadable as human-readable representations of firstTime and lastTime
| OUTPUT src_ip, user, process, count, firstTime, lastTime, firstTimeReadable, lastTimeReadable"
Citrix ADC and Gateway CitrixBleed 2 Memory Disclosure,"SEARCH HTTP network traffic logs (e.g., Suricata) within the chosen time range |
PARSE fields: event_time, http_method, http_status, url, url_length, http_user_agent, src_ip, dest_ip, sourcetype |
FILTER where http_method equals ""POST"" |
FILTER where http_status equals 200 |
FILTER where url contains ""/p/u/doAuthentication.do"" |
GROUP by http_user_agent, http_status, http_method, url, url_length, src_ip, dest_ip, sourcetype COMPUTE event_count = count(), first_seen_time = min"
