name,response
Cisco Secure Firewall - Lumma Stealer Activity,
SSL Certificates with Punycode,"SEARCH SSL/TLS certificate telemetry selecting fields: ssl_issuer_email_domain, ssl_issuer, ssl_subject_email, dest, src, sourcetype, ssl_subject_email_domain, event_time
| GROUP BY ssl_issuer_email_domain, ssl_issuer, ssl_subject_email, dest, src, sourcetype, ssl_subject_email_domain AGGREGATE count = COUNT(), first"
Large Volume of DNS ANY Queries,"SEARCH DNS query events within the selected time window
| PARSE fields: message_type, record_type, destination
| FILTER message_type == ""QUERY""
| FILTER record_type == ""ANY""
| GROUP records BY destination
| COMPUTE count = number of records per destination
| FILTER groups WHERE count > 200
| APPLY optional post-filter to remove known benign destinations if defined
| OUTPUT destination, count"
Hosts receiving high volume of network traffic from email server,
Cisco Secure Firewall - Repeated Malware Downloads,"SEARCH records from data source ""Cisco Secure Firewall Threat Defense File Event""
| FILTER where EventType equals ""FileEvent"" AND SHA_Disposition equals ""Malware"" AND FileDirection equals ""Download""
| ENRICH each record by joining to a reference mapping keyed by FileType to add Description
| BUCKET records into 5-minute windows based on event timestamp
| GROUP records BY src_ip, FileDirection, FileType, Description, and 5-minute time window
| COMPUTE for each group: count of events, firstTime as minimum event timestamp, lastTime as maximum event timestamp
| AGGREGATE for each group the distinct values of: uri, ClientApplication, app, file_hash, SHA_Disposition, file_name, ThreatName, dest, dest_port
| FILTER groups where count is greater than or equal to 10
| FORMAT firstTime and lastTime as human-readable timestamps
| OUTPUT fields: firstTime, lastTime, src_ip, dest, dest_port, FileDirection, FileType, Description, uri, file_name, file_hash, app, ClientApplication, ThreatName, SHA_Disposition"
Windows Remote Desktop Network Bruteforce Attempt,
Detect ARP Poisoning,"SEARCH network device logs from Cisco switches/routers over the time range of interest
| PARSE fields: facility, mnemonic, disable_cause, src_int_prefix_long, src_int_suffix, host, event_timestamp
| FILTER facility == ""PM"" AND mnemonic == ""ERR_DISABLE"" AND disable_cause == ""arp-inspection""
| DERIVE src_interface = CONCAT(src_int_prefix_long, src_int_suffix)
| GROUP BY host, src_interface
| COMPUTE firstTime = EARLIEST(event_timestamp), lastTime = LATEST(event_timestamp), count = COUNT(events)
| DERIVE firstTime_readable = CONVERT_TIMESTAMP(firstTime), lastTime_readable = CONVERT_TIMESTAMP(lastTime)
| OUTPUT host, src_interface, count, firstTime, lastTime, firstTime_readable, lastTime_readable"
3CX Supply Chain Attack Network Indicators,
Cisco Secure Firewall - Potential Data Exfiltration,"SEARCH records from Cisco Secure Firewall Threat Defense Connection Event logs within the requested time range
| FILTER events where event_type equals ""ConnectionEvent""
| FILTER flows representing inside-to-outside egress traffic using available indicators, for example:
  - source_zone/category/interface indicates internal AND destination_zone/category/interface indicates external
  OR
  - source_ip is within private address ranges (RFC1918) AND destination_ip is not private or reserved
  OR
  - direction field equals egress or inside-to-outside (if such a field exists)
| DERIVE total_bytes = coalesce(InitiatorBytes, 0) + coalesce(ResponderBytes, 0)
| DERIVE total_mb = round(total_bytes / (1024 * 1024), 2)
| FILTER records where total_mb >= 100
| DERIVE Exfiltrated = concatenate(total_mb, "" MB"")
| GROUP by src_ip, dest, transport, action, Exfiltrated with:
  - firstTime = minimum(event_time)
  - lastTime = maximum(event_time)
  - url_list = distinct list of url
  - rule_list = distinct list of rule
  - dest_port_list = distinct list of dest_port
| FORMAT firstTime and lastTime as human-readable timestamps
| APPLY optional exclusions to remove known benign sources, destinations, rules, or URLs (allowlist)
| OUTPUT src_ip, dest, transport, action, Exfiltrated, firstTime, lastTime, url_list, rule_list, dest_port_list"
Cisco Secure Firewall - High Volume of Intrusion Events Per Host,"SEARCH Cisco Secure Firewall Threat Defense Intrusion Event logs
| FILTER records where EventType equals ""IntrusionEvent""
| DERIVE time_window_start as the floor of _time to the nearest 30-minute boundary
| GROUP records by time_window_start, src_ip, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, rule, transport, app
| COMPUTE for each group: 
  - TotalEvents = COUNT()
  - signature_id = UNIQUE_LIST(signature_id)
  - signature = UNIQUE_LIST(signature)
  - dest = UNIQUE_LIST(dest)
  - dest_port = UNIQUE_LIST(dest_port)
  - firstTime = MIN(_time)
  - lastTime = MAX(_time)
| FILTER groups where TotalEvents is greater than or equal to 15
| DERIVE firstTimeReadable = CONVERT_TIME_TO_READABLE(firstTime)
| DERIVE lastTimeReadable = CONVERT_TIME_TO_READABLE(lastTime)
| APPLY optional suppression to exclude known benign entities or conditions (for example, specific src_ip, signature_id, rule, or app)
| OUTPUT time_window_start, src_ip, TotalEvents, signature_id, signature, dest, dest_port, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, rule, transport, app, firstTime, lastTime, firstTimeReadable, lastTimeReadable"
Cisco Secure Firewall - Rare Snort Rule Triggered,"SEARCH Cisco Secure Firewall Threat Defense Intrusion Event data for the last 7 days |
FILTER events where EventType equals ""IntrusionEvent"" |
GROUP records by signature_id, class_desc, MitreAttackGroups, InlineResult, InlineResultReason |
AGGREGATE per group:
- TriggerCount = distinct count of event timestamps
- firstTime = minimum event timestamp
- lastTime = maximum event timestamp
- signature = set of unique signature values
- src_ip = set of unique source IP values
- dest = set of unique destination values
- dest_port = set of unique destination port values
- transport = set of unique transport protocol values
- app = set of unique application values
- rule = set of unique rule values |
FILTER groups where TriggerCount equals 1 |
FORMAT firstTime and lastTime as human-readable datetimes |
APPLY optional allowlist/suppression filters specific to known benign signatures or contexts |
OUTPUT the grouped identifiers, aggregated fields, TriggerCount, firstTime, and lastTime"
SMB Traffic Spike - MLTK,"SEARCH network traffic connection events containing fields for event_time, source_ip, destination_ip, destination_port, and application |
FILTER events where destination_port equals 139 OR destination_port equals 445 OR application equals ""smb"" |
GROUP events BY 1-hour time bucket of event_time and source_ip |
COMPUTE for each group: count = number of events, dest = set of unique destination_ip values, port = set of unique destination_port values |
DERIVE HourOfDay = hour(from time bucket start), DayOfWeek = day_of_week(from time bucket start) |
APPLY anomaly detection model on field count using a probability density function approach with threshold 0.001, OUTPUT isOutlier indicator for each group |
FILTER groups where isOutlier > 0 |
SORT groups by count in descending order |
SELECT fields: time = time bucket start, src = source_ip, dest, port, count |
OUTPUT results"
Prohibited Network Traffic Allowed,"SEARCH network connection/flow logs from Cisco Secure Firewall Threat Defense (and similar network traffic sources) within the desired time range
| FILTER records where action equals ""allowed"" OR ""allow""
| GROUP records BY src_ip, dest_ip, dest_port, action, dvc, src_port, vendor_product; AGGREGATE count as event_count, min(timestamp) as firstTime, max(timestamp) as lastTime
| LOOKUP prohibited_ports_policy on dest_port to ENRICH WITH app, is_prohibited, note, transport
| FILTER records where is_prohibited equals true
| DERIVE firstTime_readable = human-readable(firstTime), lastTime_readable = human-readable(lastTime)
| OUTPUT src_ip, src_port, dest_ip, dest_port, action, dvc, vendor_product, app, transport, note, is_prohibited, event_count, firstTime, lastTime, firstTime_readable, lastTime_readable"
