1,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""/webui/logoutconfirm.html?logon_hash=*"") Web.http_method=POST Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`| `cisco_ios_xe_implant_access_filter`"
2,`zscaler_proxy` action=blocked threatname=*scam* | stats count min(_time) as firstTime max(_time) as lastTime by action deviceowner user urlcategory url src dest | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `zscaler_scam_destinations_threat_blocked_filter`
3,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.dest IN (""/pswa/*"") by Web.src Web.status Web.uri_path Web.dest Web.http_method Web.uri_query | `drop_dm_object_name(""Web"")`| `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `windows_iis_server_pswa_console_access_filter`"
4,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*/server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=false*"",""*/server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=0&*"") Web.http_method=GET Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `confluence_cve_2023_22515_trigger_vulnerability_filter`"
5,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web.Web where (Web.url IN (""/CTCWebService/CTCWebServiceBean"", ""/VisualComposer/services/DesignTimeService"", ""/ctc/CTCWebService/CTCWebServiceBean"")) AND Web.http_method IN (""HEAD"", ""POST"") AND Web.status=200 by Web.src, Web.dest, Web.http_method, Web.url, Web.http_user_agent, Web.url_length, sourcetype | `drop_dm_object_name(""Web"")` | eval action=case(http_method=""HEAD"", ""Recon/Probe"", http_method=""POST"", ""Possible Exploitation"") | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | table firstTime, lastTime, src, dest, http_method, action, url, user_agent, url_length, sourcetype | `sap_netweaver_visual_composer_exploitation_attempt_filter`"
6,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where ((Web.url=""*?jsp=*"" AND Web.url=""*;.jsp*"") Web.status=200 Web.http_method=POST) OR (Web.url IN (""*jsp=/app/rest/users;.jsp"",""*?jsp=/app/rest/users;.jsp"",""*?jsp=.*/app/rest/users/id:*/tokens;*"") Web.status=200 Web.http_method=POST ) by Web.src, Web.dest, Web.http_user_agent, Web.url, Web.status, Web.http_method, sourcetype, source | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`| `jetbrains_teamcity_authentication_bypass_cve_2024_27198_filter`"
7,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*/setup/setupadministrator.action*"", ""*/setup/finishsetup.action*"", ""*/json/setup-restore-local.action*"", ""*/json/setup-restore-progress.action*"", ""*/json/setup-restore.action*"", ""*/bootstrap/selectsetupstep.action*"") Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `confluence_data_center_and_server_privilege_escalation_filter`"
8,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*plugins/servlet/com.jsos.shell/*"") Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `web_remote_shellservlet_access_filter`"
9,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN(""*/api/v1/totp/user-backup-code/../../system/maintenance/archiving/cloud-server-test-connection*"",""*/api/v1/totp/user-backup-code/../../license/keys-status/*"") Web.http_method IN (""POST"", ""GET"") Web.status=200 by Web.src, Web.dest, Web.http_user_agent, Web.url, Web.http_method, Web.status | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `ivanti_connect_secure_command_injection_attempts_filter`"
10,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where (Web.http_method=""GET"" OR Web.http_method=""HEAD"") by Web.http_method, Web.url,Web.url_length Web.src, Web.dest | search Web.url=""*jmx-console/HtmlAdaptor?action=invokeOpByName&name=jboss.admin*import*"" AND Web.url_length > 200 | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | table src, dest_ip, http_method, url, firstTime, lastTime | `detect_malicious_requests_to_exploit_jboss_servers_filter`"
